Area Code,Block Number,Field,Structure Name,Structure Number,Struc Type Code,Authority Type,Authority Number,Authority Status,Bus Asc Name,Complex Id Num,Maj Struc Flag,Install Date,Removal Date,Site Clear Date,District Code,Heliport Flag,Lease Number,Water Depth (feet),INCs,Latitude,Longitude,Nad Year Cd,Proj Code,Ptfrm X Location,Ptfrm Y Location,Surf N S Dist,Surf N S Code,Surf E W Dist,Surf E W Code,Attended 8 Hr,Manned 24 Hr
BA,  494,BA494,A,1,FIXED,OCS Lease,G06071,TERMIN,Apache Corporation,10469,Y,1/1/1989,7/9/2005,10/14/2005,4,Y,G06071,84,13,28.413234,-95.714775,27,71,3055971.81,225687,3993,N,7984,E,N,N
BA,  412,BA412,A,1,FIXED,OCS Lease,G05003,TERMIN,Burlington Resources Offshore Inc.,10478,Y,1/1/1989,9/12/1999,10/4/1999,4,N,G05003,68,8,28.574104,-95.567398,27,71,3101613.81,285512,7528,N,5978,W,N,N
BA,A   2,BA002A,A,1,FIXED,OCS Lease,G09025,TERMIN,Anadarko E&P Company LP,10513,Y,1/1/1990,6/4/1997,7/4/1997,4,N,G09025,118,7,28.322796,-95.359425,27,71,3171180.81,196203,1797,N,3655,E,N,N
BA,  476,BA491,2,1,CAIS,OCS Lease,G11274,TERMIN,Tri-Union Development Corporation,10529,N,1/1/1990,9/13/2001,12/3/2001,4,Y,G11274,75,4,28.46220425,-95.80611494,27,71,3026133.81,242672,2848,N,6142,E,N,N
BA,  397,BA397,A,1,FIXED,Right-of-Use and Easement,G23675,TERMIN,"Maritech Resources, Inc.",10531,Y,5/16/1992,10/25/2011,5/4/2012,4,Y,G09012,81,27,28.605005,-95.379278,27,71,3161619.81,298562,5522,S,2624,W,N,N
BA,  475,BA475,1,1,CAIS,OCS Lease,G09021,TERMIN,Fieldwood Energy SP LLC,10533,N,1/1/1991,12/6/2004,4/21/2005,4,Y,G09021,70,3,28.452438,-95.774327,27,71,3036441.81,239403,6117,N,4166,W,N,N
BA,  431,BA431,A,1,WP,Right-of-Way,G24265,RELQ,"Maritech Resources, Inc.",10537,N,1/1/1991,9/28/2011,4/8/2012,4,Y,G09017,90,5,28.54432,-95.381076,27,71,3161725.81,276491,709,N,2730,W,N,N
BA,  439,BA451,A,1,FIXED,OCS Lease,G11272,TERMIN,Devon Louisiana Corporation,10547,Y,1/1/1991,8/19/2005,8/26/2005,4,N,G11272,67,25,28.514851,-95.745375,27,71,3045110.81,262344,984,S,3005,E,N,N
BA,A  21,BA021A,A,1,FIXED,OCS Lease,G08120,RELINQ,McMoRan Oil & Gas LLC,10563,Y,10/13/1992,7/29/2016,8/19/2016,4,Y,G08120,123,20,28.19383993,-95.67837961,27,71,3069932.81,146280,4200,N,5977,W,N,N
BA,A  19,BA020A,CAIS.#1,1,CAIS,OCS Lease,G03936,TERMIN,Shell Offshore Inc.,1057,N,11/10/2001,4/6/2005,5/3/2005,4,N,G03936,133,1,28.16786743,-95.56029614,27,71,3108235.81,137940,3300,S,3240,E,N,N
BA,  504,BA501,B,1,WP,OCS Lease,G20616,TERMIN,McMoRan Oil & Gas LLC,1545,Y,8/19/2004,10/1/2014,3/21/2015,4,Y,G20616,119,9,28.34995996,-95.36218865,27,71,3169984.81,206047,7793,N,4851,E,N,N
BA,  375,BA399,3,1,CAIS,OCS Lease,G09010,TERMIN,"EPL Oil & Gas, LLC",28003,N,1/1/1994,8/3/2015,8/24/2015,4,Y,G09010,62,13,28.64829818,-95.43723598,27,71,3142551.81,313724,4844,S,604,E,N,N
BA,A  21,BA021A,B,1,FIXED,OCS Lease,G08120,RELINQ,McMoRan Oil & Gas LLC,28043,Y,5/18/1996,8/2/2016,8/25/2016,4,Y,G08120,127,32,28.17103161,-95.68541014,27,71,3067903.81,137926,3286,S,3948,W,N,N
BA,  417,WILD,A,1,FIXED,OCS Lease,G22190,TERMIN,"Helis Oil & Gas Company, L.L.C.",1042,N,1/18/2002,6/29/2009,6/29/2009,4,Y,G22190,92,,28.56703785,-95.31172188,27,71,3183721.81,285442,7598,N,6954,E,N,N
